hex1_id,hex2_id,L1,L2,L3,L5,Mi1,Mi4,Mi9,C2,C3,Tm1,Tm2,Tm4,Tm9,Tm20,T1,x,y
9,3,54219,56109,115801,131274,43969.0,69920.0,87282.0,97380.0,69951.0,60832.0,62091.0,74850.0,107354.0,110077.0,58122.0,-6,12
9,4,43420,52074,52247,124990,41418.0,66417.0,82243.0,91127.0,67825.0,62676.0,58669.0,71510.0,95658.0,107081.0,48183.0,-5,13
9,5,35026,29647,156305,113320,46390.0,57000.0,72688.0,91706.0,64719.0,51546.0,54281.0,77769.0,95838.0,114996.0,74125.0,-4,14
9,6,38196,38397,82716,124215,40654.0,63888.0,70700.0,98200.0,61407.0,56884.0,57385.0,70388.0,95270.0,158410.0,76868.0,-3,15
9,7,40153,37928,77861,106316,39644.0,50626.0,79902.0,91043.0,54301.0,54883.0,89353.0,51905.0,96972.0,106756.0,56128.0,-2,16
9,8,34682,33338,82557,101413,38769.0,57506.0,73879.0,91718.0,50836.0,52508.0,54037.0,75849.0,94344.0,91031.0,38679.0,-1,17
9,9,36074,30010,71449,98701,41037.0,54969.0,69182.0,95360.0,45751.0,47480.0,52545.0,74251.0,95503.0,91184.0,41755.0,0,18
9,10,31928,32670,127598,112735,38482.0,53555.0,68011.0,86340.0,54585.0,44375.0,51804.0,75229.0,92079.0,96561.0,38880.0,1,19
9,11,27465,27434,68364,98628,42763.0,54273.0,80359.0,123943.0,54863.0,50556.0,50549.0,104135.0,97599.0,91863.0,41832.0,2,20
9,12,30293,27087,60861,98686,38851.0,62748.0,78385.0,78077.0,46498.0,44042.0,49510.0,79767.0,85176.0,95467.0,33994.0,3,21
9,13,27996,25801,68798,87448,39332.0,60328.0,67859.0,91746.0,46387.0,46186.0,47065.0,65116.0,83462.0,87441.0,34579.0,4,22
9,14,30639,26351,81046,100386,37368.0,79429.0,79190.0,81322.0,51559.0,54945.0,56612.0,67089.0,110226.0,114421.0,74686.0,5,23
9,15,32566,30321,90361,106690,77510.0,533517.0,131739.0,101541.0,57407.0,59250.0,61098.0,575340.0,105416.0,192940.0,38574.0,6,24
9,16,27458,30956,87779,101356,43485.0,67264.0,131351.0,90676.0,61608.0,56653.0,58902.0,123304.0,149457.0,111824.0,72682.0,7,25
9,17,36111,30268,92845,116098,44527.0,67487.0,86948.0,106294.0,66051.0,58478.0,59276.0,80117.0,105553.0,116189.0,42112.0,8,26
9,18,39361,32500,120331,135299,45696.0,68328.0,108779.0,89081.0,62290.0,53287.0,58985.0,82197.0,104486.0,115024.0,38305.0,9,27
9,19,53690,33317,148954,124573,51049.0,72835.0,146808.0,109078.0,69840.0,54491.0,61583.0,77524.0,104264.0,118606.0,48076.0,10,28
9,20,34855,29610,98914,126798,45176.0,65641.0,95804.0,99953.0,62567.0,56272.0,54887.0,76803.0,105921.0,125089.0,48875.0,11,29
9,21,26042,32598,103683,101988,43965.0,70886.0,88389.0,94884.0,63360.0,51482.0,60174.0,75608.0,154024.0,122201.0,42541.0,12,30
9,22,30762,23146,69335,131680,45719.0,64562.0,91829.0,89378.0,63038.0,30145.0,56992.0,78937.0,93471.0,109334.0,36866.0,13,31
9,23,29121,24108,67513,103098,73767.0,70768.0,104488.0,88597.0,55892.0,52055.0,56067.0,80491.0,112165.0,116346.0,65344.0,14,32
9,24,77237,23914,544449,128044,43872.0,77540.0,146147.0,82307.0,67533.0,55073.0,68813.0,80799.0,111283.0,128029.0,66853.0,15,33
9,25,27229,24430,72789,126875,45634.0,86929.0,100507.0,88696.0,67811.0,52229.0,63498.0,80861.0,108800.0,135520.0,37972.0,16,34
9,26,29732,24433,62695,129039,43705.0,82269.0,111381.0,101560.0,58666.0,58352.0,59140.0,81773.0,104167.0,161513.0,36321.0,17,35
9,27,27532,26328,83673,85483,56534.0,92037.0,131044.0,105150.0,73474.0,64455.0,66765.0,98798.0,132810.0,128614.0,49718.0,18,36
9,28,44723,42416,101218,194257,79752.0,115013.0,143908.0,106464.0,76045.0,76073.0,88253.0,118724.0,135704.0,142521.0,95668.0,19,37
