receptor,0.0s,0.5s,1.0s,1.5s,odour,glomerulus
Or49b,0.04513888888888889,0.021979166666666668,0.016215277777777776,0.0196875,pentyl acetate at10-2,VA5
Or7a,0.043993055555555556,0.027777777777777776,-0.008090277777777778,-0.006944444444444444,pentyl acetate at10-2,DL5
Or10a,0.041666666666666664,0.05322916666666667,0.0115625,0.0115625,pentyl acetate at10-2,DL1
Or88a,0.024305555555555556,-0.0196875,-0.03125,-0.0115625,pentyl acetate at10-2,VA1d
Or33b,-0.030104166666666668,-0.017361111111111112,-0.0011458333333333333,0.025451388888888888,pentyl acetate at10-2,DM5+DM3
Or47b,-0.09027777777777778,0.0,-0.017361111111111112,-0.015034722222222222,pentyl acetate at10-2,VA1v
Or47a,0.7719791666666667,0.17708333333333334,0.05555555555555555,0.0428125,pentyl acetate at10-4,DM3
Or98a,0.20024305555555555,-0.030104166666666668,-0.003472222222222222,-0.005798611111111111,pentyl acetate at10-4,VM5v
Or85b,0.6330902777777778,0.05788194444444445,0.009270833333333332,0.010416666666666666,pentyl acetate at10-4,VM5d
Or67a,0.26274305555555555,-0.04746527777777778,-0.03357638888888889,-0.027777777777777776,pentyl acetate at10-4,DM6
Or35a,0.19559027777777777,0.07406249999999999,0.018506944444444444,0.006944444444444444,pentyl acetate at10-4,VC3
Or19a,0.14697916666666666,0.13774305555555555,0.08913194444444444,0.06597222222222222,pentyl acetate at10-4,DC1
Or22a,0.4085763888888889,0.024305555555555556,0.0196875,0.009270833333333332,pentyl acetate at10-4,DM2
Or9a,0.04052083333333333,-0.010416666666666666,0.003472222222222222,0.004618055555555556,pentyl acetate at10-4,VM3
Or43b,0.08447916666666666,0.003472222222222222,0.004618055555555556,0.006944444444444444,pentyl acetate at10-4,VM2
Or59b,0.006944444444444444,-0.004618055555555556,-0.003472222222222222,-0.003472222222222222,pentyl acetate at10-4,DM4
Or43a,0.07177083333333334,0.034722222222222224,0.013888888888888888,0.009270833333333332,pentyl acetate at10-4,DA4l
Or65a,0.028923611111111112,-0.002326388888888889,0.0115625,0.012743055555555556,pentyl acetate at10-4,DL3
Or2a,0.024305555555555556,0.012743055555555556,0.017361111111111112,0.04628472222222222,pentyl acetate at10-4,DA4m
Or85f,0.061354166666666675,-0.006944444444444444,-0.0011458333333333333,0.0,pentyl acetate at10-4,DL4
Or85a,-0.026631944444444444,0.013888888888888888,0.0,0.008090277777777778,pentyl acetate at10-4,DM5
Or82a,0.020833333333333332,-0.016215277777777776,-0.009270833333333332,0.003472222222222222,pentyl acetate at10-4,VA6
Or23a,0.016215277777777776,-0.0115625,-0.009270833333333332,-0.005798611111111111,pentyl acetate at10-4,DA3
Or67c,-0.002326388888888889,-0.0115625,-0.006944444444444444,-0.004618055555555556,pentyl acetate at10-4,VC4
Or49b,0.008090277777777778,0.002326388888888889,0.005798611111111111,-0.003472222222222222,pentyl acetate at10-4,VA5
Or7a,0.030104166666666668,0.013888888888888888,0.0115625,0.0011458333333333333,pentyl acetate at10-4,DL5
Or10a,-0.013888888888888888,-0.024305555555555556,-0.004618055555555556,-0.003472222222222222,pentyl acetate at10-4,DL1
Or88a,0.018506944444444444,-0.012743055555555556,0.017361111111111112,0.006944444444444444,pentyl acetate at10-4,VA1d
Or33b,-0.025451388888888888,-0.035868055555555556,-0.02315972222222222,-0.009270833333333332,pentyl acetate at10-4,DM5+DM3
Or47b,-0.027777777777777776,-0.010416666666666666,0.0011458333333333333,0.002326388888888889,pentyl acetate at10-4,VA1v
Or47a,0.7349652777777778,0.4861111111111111,0.30788194444444444,0.14930555555555555,2-heptanone at 10-2,DM3
Or85b,0.7337847222222222,0.6655208333333333,0.6493055555555556,0.6643402777777778,2-heptanone at 10-2,VM5d
Or98a,0.7222222222222222,0.19559027777777777,0.04746527777777778,0.028923611111111112,2-heptanone at 10-2,VM5v
Or19a,0.6377430555555555,0.1539236111111111,0.10996527777777779,0.08565972222222223,2-heptanone at 10-2,DC1
Or67a,0.5891319444444444,0.20600694444444445,0.12038194444444444,0.07753472222222221,2-heptanone at 10-2,DM6
Or35a,0.4513888888888889,0.4676041666666666,0.4814930555555555,0.42246527777777776,2-heptanone at 10-2,VC3
